,precision,recall,f1-score,support
STE,0.38461538461538464,0.5,0.43478260869565216,10.0
SPFL,0.4,0.25,0.3076923076923077,16.0
SPTVE,0.0,0.0,0.0,9.0
TOP-5,0.5,0.5833333333333334,0.5384615384615384,24.0
HETERO,0.9122807017543859,0.8666666666666667,0.8888888888888888,60.0
accuracy,0.6302521008403361,0.6302521008403361,0.6302521008403361,0.6302521008403361
macro avg,0.4393792172739541,0.44000000000000006,0.4339650687476774,119.0
weighted avg,0.6469159323648487,0.6302521008403361,0.6346833047600311,119.0
