,precision,recall,f1-score,support
STE,0.6,0.6,0.6,10.0
SPFL,0.4117647058823529,0.4375,0.42424242424242425,16.0
SPTVE,0.0,0.0,0.0,9.0
TOP-5,0.5625,0.75,0.6428571428571429,24.0
HETERO,0.9322033898305084,0.9166666666666666,0.9243697478991597,60.0
accuracy,0.7226890756302521,0.7226890756302521,0.7226890756302521,0.7226890756302521
macro avg,0.5012936191425723,0.5408333333333333,0.5182938629997453,119.0
weighted avg,0.689247383898724,0.7226890756302521,0.7031818074823514,119.0
