Class,precision,recall,f1-score,support
STE,0.6363636363636364,0.7,0.6666666666666666,10.0
SPFL,0.38461538461538464,0.3125,0.3448275862068966,16.0
SPTVE,0.3333333333333333,0.2222222222222222,0.26666666666666666,9.0
TOP-5,0.6296296296296297,0.7083333333333334,0.6666666666666666,24.0
HETERO,0.9193548387096774,0.95,0.9344262295081968,60.0
accuracy,0.7394957983193278,0.7394957983193278,0.7394957983193278,0.7394957983193278
macro avg,0.5806593645303323,0.5786111111111112,0.5758507631430186,119.0
weighted avg,0.7209233945476828,0.7394957983193278,0.7281469060207463,119.0
