Stage,Task,Key Metric,CV Score
Stage 1 (Ridge),Regression,Avg R² = -0.1288,-57819132787977556288602112.0000
Stage 2 (XGBoost + SMOTE),Classification,Macro F1 = 0.5759,0.5811 ± 0.0226
