,precision,recall,f1-score,support
STE,0.7,0.7,0.7,10.0
SPFL,0.5555555555555556,0.625,0.5882352941176471,16.0
SPTVE,0.5,0.1111111111111111,0.18181818181818182,9.0
TOP-5,0.7407407407407407,0.8333333333333334,0.7843137254901961,24.0
HETERO,0.9193548387096774,0.95,0.9344262295081968,60.0
accuracy,0.7983193277310925,0.7983193277310925,0.7983193277310925,0.7983193277310925
macro avg,0.6831302270011947,0.6438888888888888,0.6377586861868443,119.0
weighted avg,0.7842685461281287,0.7983193277310925,0.7809851388613654,119.0
