,R2,MAE,RMSE,CV_R2_Mean,CV_R2_Std,n_train,n_test
STE,-0.6257,1.1933,1.4445,-9.214253428216585e+26,1.1305735770187709e+27,41.0,11.0
SPFL,0.6406,1.4459,1.7384,0.0612,0.5542,64.0,17.0
SPTVE,-3.5827,0.9466,1.3111,-0.0969,0.2699,35.0,9.0
TOP-5,-0.8886,0.5387,0.809,-0.1541,0.2098,95.0,24.0
HETERO,-0.2847,0.4765,0.7848,-0.0548,0.1034,238.0,60.0
