student_id,age,gender,learning_style,study_hours_daily,support_person,assignment_completion,handle_difficulty,enjoy_math,enjoy_science,enjoy_english,enjoy_filipino,enjoy_arpan,enjoy_mapeh,enjoy_tle,preferred_program,motivation_level,enjoy_science_experiments,enjoy_reading,enjoy_handson_activities,enjoy_sports,enjoy_arts,enjoy_language_related_activities,foreign_language_interest,competition_participation,device_availability,internet_access,absences_count,absence_reason,family_income_help,school_participation,received_awards,award_highest_honors,award_high_honors,award_with_honors,award_best_science,award_best_math,award_best_english,award_conduct,achiever_award,difficulty_reading,difficulty_writing,difficulty_math,difficulty_focusing,difficulty_social_interaction,extra_support_recommended,quiet_study_place,distance_from_school,travel_difficulty,grade_math,grade_science,grade_english,grade_filipino,grade_arpan,grade_mapeh,average_grade_tle,grade_esp,grade_6_final_average,actual_placement
student_031,12,0,3,2,1,3,1,0,0,1,0,0,0,0,6,2,0,0,0,1,0,0,2,0,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,3,81,78,82,77,86,84,85,89,84,5
student_032,12,0,3,4,4,1,3,1,0,0,0,0,0,0,6,2,0,0,1,1,0,0,2,0,2,1,2,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,3,1,83,84,83,84,84,81,84,88,84,5
student_033,12,0,2,1,2,1,1,0,1,0,0,0,0,0,6,2,0,0,0,0,1,0,2,0,2,2,2,5,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,3,3,83,81,81,83,83,84,85,83,83,5
student_034,12,0,3,2,4,1,3,0,1,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,77,77,77,79,79,81,81,81,79,5
student_035,13,0,5,1,1,1,1,0,1,0,0,0,0,0,6,1,1,0,0,0,0,0,1,0,1,3,1,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,3,81,82,81,81,83,83,84,84,82,5
student_036,12,0,3,4,1,3,2,0,1,0,0,0,0,0,5,1,0,1,0,0,0,0,1,1,2,1,2,NaN,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,1,79,76,76,79,77,79,79,79,78,5
student_037,12,0,3,3,1,4,1,0,1,0,0,0,0,0,NaN,1,1,0,0,0,0,1,2,0,1,NaN,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,1,76,76,77,78,76,76,77,77,77,5
student_038,15,0,1,4,1,3,1,1,1,1,1,1,1,1,2,1,0,0,0,0,1,0,2,1,1,1,3,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,1,80,84,84,81,85,84,85,85,84,5
student_039,13,0,3,3,1,4,1,1,1,1,1,1,1,1,6,2,1,0,0,0,0,0,1,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,2,79,76,76,79,78,79,80,80,78,5
student_040,13,1,3,2,2,3,1,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,2,79,78,83,81,79,83,83,84,81,5
student_041,14,1,3,1,1,3,1,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,1,0,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,2,76,75,75,76,76,79,75,77,76,5
student_042,13,1,3,2,1,3,1,1,0,0,1,1,1,0,6,1,0,0,0,1,0,0,3,0,2,NaN,4,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,3,86,83,81,85,85,83,86,85,84,5
student_043,12,1,3,2,1,3,1,0,1,0,1,0,1,0,3,2,0,0,0,1,1,0,1,1,2,2,2,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,4,2,79,80,79,82,84,81,79,86,81,5
student_044,13,1,5,2,1,3,1,1,1,0,1,1,0,0,3,2,0,0,0,1,1,1,1,1,1,1,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,79,83,80,84,85,81,83,87,83,5
student_045,12,1,5,2,3,3,4,0,0,0,0,0,0,1,6,2,0,0,1,0,0,0,2,0,2,1,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,3,82,80,83,81,82,81,82,84,82,5
student_046,12,1,3,1,1,2,1,0,0,0,0,1,0,0,3,3,0,0,0,0,1,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,75,75,76,77,78,81,76,80,77,5
student_047,12,1,1,2,1,3,3,0,1,0,0,0,0,0,6,3,0,0,0,0,1,0,1,1,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,77,76,78,80,77,80,77,81,78,5
student_048,12,1,3,1,4,3,3,0,1,0,0,0,0,0,6,2,0,1,0,0,0,1,2,0,2,2,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,3,82,84,83,83,82,82,85,85,83,5
student_049,13,1,5,2,1,3,1,0,1,1,1,1,1,0,3,2,0,1,0,0,1,0,2,0,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,3,80,85,81,78,85,81,77,79,81,5
student_050,13,1,3,2,1,3,1,0,1,0,0,0,0,0,1,2,1,0,0,1,1,0,1,1,2,2,3,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,3,82,79,83,85,82,83,83,82,82,5
student_051,14,1,NaN,2,1,3,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,2,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,89,83,79,79,85,81,84,82,83,5
student_052,13,1,3,2,1,3,1,0,1,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,1,2,2,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,81,82,79,83,82,83,82,86,82,5
student_053,12,1,5,1,3,3,4,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,3,0,1,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,3,2,82,82,83,82,82,88,80,80,82,5
student_054,14,1,3,1,4,3,1,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0,1,1,2,3,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,NaN,85,85,86,85,86,85,87,87,85,5
student_055,12,1,5,1,1,1,1,0,0,0,1,1,1,0,3,2,0,1,1,1,0,0,1,1,1,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,80,82,80,81,85,84,85,92,84,5
student_056,14,1,5,1,1,3,1,0,0,0,0,0,1,0,3,2,0,1,0,1,0,0,1,1,1,2,2,NaN,2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,80,81,82,84,82,83,80,82,82,5
student_057,,0,1,1,4,1,3,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,2,0,2,3,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,3,77,80,77,86,80,85,81,84,81,5
student_058,,0,3,4,1,4,1,0,0,0,0,1,0,0,5,3,0,0,0,1,0,0,2,1,3,NaN,1,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,3,80,79,82,79,78,81,79,85,80,5
student_059,13,1,1,1,4,1,3,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,2,0,2,3,1,5,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,3,78,77,78,79,77,82,78,83,79,5
student_060,13,1,1,1,4,1,3,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,2,0,2,3,2,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,3,77,78,76,77,80,77,76,81,78,5
student_061,13,0,3,2,4,3,2,1,0,0,0,0,0,0,5,3,0,0,0,1,0,0,2,NaN,2,3,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,87,83,86,87,81,85,88,89,86,5
student_062,14,0,3,4,4,2,1,1,0,0,0,0,0,0,5,3,0,0,0,1,0,0,2,0,2,3,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,79,76,78,79,79,78,79,79,78,5
student_063,14,1,5,1,1,1,3,0,0,0,0,1,0,0,3,2,0,0,0,1,0,0,1,1,1,1,2,5,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,81,86,84,86,82,82,89,84,5
student_064,12,1,3,1,4,3,3,1,0,0,0,0,0,0,5,2,1,0,0,0,0,0,2,0,1,2,4,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,2,78,81,84,82,82,83,79,79,81,5
student_065,12,1,3,1,4,3,2,0,0,0,0,0,1,0,5,NaN,1,0,0,0,0,0,2,0,2,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,2,79,80,83,84,81,86,80,83,82,5
student_066,13,1,3,1,4,1,2,0,0,0,1,0,0,0,5,NaN,1,0,0,0,0,0,NaN,0,2,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,2,76,76,76,78,78,79,77,81,78,5
student_067,13,0,3,1,1,1,1,0,1,0,0,0,0,0,NaN,NaN,0,0,0,0,1,0,NaN,NaN,NaN,NaN,1,2,1,1,NaN,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN,1,NaN,3,79,79,81,83,82,84,82,88,82,5
student_068,13,1,NaN,2,4,3,1,0,0,0,0,1,0,0,NaN,NaN,0,0,0,0,1,0,2,0,2,2,3,NaN,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,81,82,84,85,79,85,82,92,84,5
student_069,,0,3,1,1,3,2,0,0,0,0,1,0,0,5,2,0,1,0,0,0,0,2,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,77,82,76,82,80,87,81,88,82,5
student_070,12,0,3,1,1,3,3,0,1,0,0,0,0,0,NaN,NaN,0,0,1,0,0,0,2,0,1,NaN,1,1,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,3,2,84,81,82,85,86,81,83,88,84,5
student_071,12,0,5,2,2,3,1,0,0,0,0,0,1,0,5,2,0,0,0,1,0,0,2,0,1,2,1,1,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,3,2,78,86,82,79,80,82,81,83,81,5
student_072,14,0,3,1,1,3,2,0,0,0,0,0,1,0,5,NaN,0,0,0,1,0,0,NaN,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,77,82,76,82,79,86,78,86,81,5
student_073,14,0,5,2,1,3,1,0,1,1,1,1,1,0,5,3,0,0,1,0,0,0,1,0,1,2,2,5,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,3,78,75,75,75,75,75,77,75,76,5
student_074,13,0,3,1,4,3,3,0,0,0,1,0,0,0,5,3,0,0,0,1,0,0,NaN,0,1,1,1,2,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,83,84,84,82,81,88,82,87,84,5
student_075,,0,3,1,1,3,3,0,0,0,0,0,1,0,NaN,NaN,0,0,1,0,0,0,1,0,2,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,79,82,83,84,83,83,84,83,82,5
student_076,16,0,3,4,4,3,1,0,0,0,1,0,0,0,5,3,0,0,0,1,0,0,1,0,2,3,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,1,77,79,76,76,77,77,78,79,77,5
student_077,15,0,3,1,4,1,2,0,0,0,0,0,1,0,5,2,1,0,0,0,0,0,1,1,2,2,1,5,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN,2,2,2,80,77,77,75,81,85,78,87,80,5
student_078,14,0,5,2,3,3,2,0,0,0,0,1,0,0,5,2,0,0,0,0,1,0,1,0,2,2,2,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN,2,2,2,84,79,82,83,80,80,82,82,82,5
student_079,15,1,3,2,1,3,1,0,0,0,0,0,1,0,5,3,0,0,0,0,1,0,1,1,2,1,2,4,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,3,83,83,82,80,79,85,80,87,82,5
student_080,13,1,3,1,1,2,3,0,1,0,0,0,0,0,5,2,0,0,0,0,1,0,2,1,2,1,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,3,85,86,86,88,83,84,85,89,86,5
student_081,,0,5,2,2,1,1,0,0,0,0,1,1,0,5,2,0,0,0,1,0,0,1,0,1,2,1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,3,79,76,78,76,83,81,79,85,80,5
student_082,14,1,5,2,1,1,1,1,0,0,0,0,0,0,5,2,0,0,0,1,0,0,1,0,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,80,81,86,81,84,88,81,86,83,5
student_083,13,0,5,2,1,1,1,0,0,0,1,0,0,0,2,3,0,0,0,0,1,0,1,1,2,2,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,3,77,81,79,85,81,84,83,85,82,5
student_084,13,0,5,1,3,1,3,0,0,1,0,0,0,0,4,1,1,0,0,0,0,0,2,1,1,2,2,2,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,2,78,82,82,78,78,83,83,79,80,5
student_085,13,1,4,2,1,3,1,0,0,1,0,0,0,0,5,2,0,1,0,0,0,0,1,1,1,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,3,82,83,83,80,79,85,83,84,82,5
student_086,12,1,5,1,1,3,1,0,0,0,0,0,1,1,5,2,0,0,1,0,0,0,1,0,1,2,1,NaN,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,76,76,77,78,78,83,79,81,79,5
student_087,13,1,3,2,1,3,1,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,2,0,2,3,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,2,80,77,80,80,78,80,80,85,80,5
student _088,14,1,3,2,1,3,1,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,1,1,2,1,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,81,81,81,81,81,82,82,82,81,5
student_089,14,1,3,2,1,3,2,0,0,0,1,0,0,0,4,2,1,0,0,0,0,0,2,1,2,3,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,3,71,77,73,70,78,79,82,80,78,5
student_090,12,1,3,1,4,1,1,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,1,0,1,2,1,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,3,90,82,81,82,80,81,84,80,83,5
student_091,13,1,3,2,4,1,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,2,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,80,79,82,78,77,82,82,88,81,5
student_092,13,1,3,2,1,1,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,1,2,2,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,2,87,84,85,81,85,84,88,89,85,5
student_093,13,0,3,2,1,1,3,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0,3,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,3,89,82,81,83,82,86,82,86,84,5
student_094,13,0,5,2,1,2,1,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,1,1,2,3,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2,93,87,85,80,83,80,86,82,85,5
student_095,12,0,5,2,1,1,3,1,0,0,0,0,0,0,4,3,0,0,0,1,0,0,1,0,1,1,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,77,76,75,77,77,77,77,77,76,5
student_096,13,0,5,2,1,1,3,1,0,0,0,0,0,0,4,3,0,0,1,1,1,1,1,0,1,1,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,81,78,82,82,82,80,79,85,81,5
student_097,12,0,3,1,1,3,3,0,0,0,1,0,0,0,4,2,0,1,0,0,0,0,1,0,2,2,1,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,4,3,80,78,81,82,84,81,81,85,82,5
student_098,15,1,3,2,1,3,1,0,0,0,1,0,0,0,4,2,0,1,0,0,0,0,1,0,1,1,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,82,83,81,85,83,81,87,90,84,5
student_099,13,1,3,2,1,2,2,0,0,0,0,0,1,0,4,2,0,0,1,1,1,0,2,0,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,81,81,82,81,81,87,83,85,83,5
student_100,15,1,3,2,1,3,1,0,0,0,1,0,0,0,4,3,0,1,0,0,0,0,1,0,1,1,1,2,NaN,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,81,81,80.75,83,84.25,80.9,81.75,85,82.18,5
student_101,12,1,5,3,1,4,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,2,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,3,80,81,81,81,83,85,81,85,82,5
student_102,12,0,NaN,4,1,4,1,1,1,0,1,0,1,0,4,3,0,1,1,1,0,0,3,0,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,82,78,84,83,85,84,84,79,82,5
student_103,12,0,3,2,1,3,1,0,1,0,0,0,0,0,4,NaN,0,0,0,1,0,0,2,1,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,80,79,80,83,84,82,82,84,82,5
student_104,13,0,3,2,2,1,2,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,1,1,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,3,80,82,80,76,77,81,79,78,79,5
student_105,13,1,5,3,1,4,3,1,0,0,1,0,1,0,1,2,1,0,0,0,0,0,1,0,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,82,81,84,82,81,85,82,89,83,5
student_106,15,0,3,2,1,3,3,0,1,0,0,0,1,0,4,2,0,0,1,0,1,0,3,0,2,2,2,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,3,78,79,76,77,80,81,81,82,79,5
student_107,15,0,NaN,2,1,2,1,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,1,1,2,NaN,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,75,76,77,79,76,75,75,78,77,5
student_108,13,1,2,2,1,3,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,0,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3,82,82,80,81,82,81,80,87,82,5
